druid,purl,Title,Subtitle,Date,Type,Type URI
druid:bb054hs1968,https://purl.stanford.edu/bb054hs1968,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bb078wj6265,https://purl.stanford.edu/bb078wj6265,"Stanford out of South Africa (SOSA), Sit-in at Old Union",,10/23/85,still image,http://vocab.getty.edu/aat/300046300
druid:bb103ms8325,https://purl.stanford.edu/bb103ms8325,"Aja and Rahiel, photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:bb138hy2472,https://purl.stanford.edu/bb138hy2472,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:bb258fr8216,https://purl.stanford.edu/bb258fr8216,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bb325ns0880,https://purl.stanford.edu/bb325ns0880,"Rosa Parks, seated, with residence staff in Arroyo House lounge, Stanford University, Feb. 18, 1990",,,,
druid:bb427gf6685,https://purl.stanford.edu/bb427gf6685,East Palo Alto/Nairobi Legacy Reunion: Efuru Perkins and Dorothy Mitchell,,7/24/04,still image,http://vocab.getty.edu/aat/300046300
druid:bb497mn3461,https://purl.stanford.edu/bb497mn3461,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:bb712wj5054,https://purl.stanford.edu/bb712wj5054,Follow-up of black freshmen,,6/22/70,text,http://vocab.getty.edu/aat/300027267
druid:bb780fp2916,https://purl.stanford.edu/bb780fp2916,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bb900vj4746,https://purl.stanford.edu/bb900vj4746,"Jessie Jackson - Martin Luther King, Jr. Day",,1/15/87,still image,http://vocab.getty.edu/aat/300046300
druid:bb955bp5391,https://purl.stanford.edu/bb955bp5391,Ishmael Reed,,5/5/82,still image,http://vocab.getty.edu/aat/300224742
druid:bb966zc9144,,"Black Lives Matter memorial, Stanford University",,7/22/20,still image,http://vocab.getty.edu/aat/300417379
druid:bb997pf4540,,AIT_14327/2022_09,,,,
druid:bc048xp3792,organization,Grapevine,1987-03,,text,
druid:bc091jz5984,https://purl.stanford.edu/bc091jz5984,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bc091vf8577,https://purl.stanford.edu/bc091vf8577,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bc353gr1672,https://purl.stanford.edu/bc353gr1672,"Transition to new building, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:bc526rf5313,https://purl.stanford.edu/bc526rf5313,Letter from James Turner to Keith Archuleta,,5/2/78,text,
druid:bc581hm4086,https://purl.stanford.edu/bc581hm4086,AIT_14327/2022_05,,,,
druid:bc679dy1351,https://purl.stanford.edu/bc679dy1351,Black seniors potluck,,,still image,
druid:bc682xv2438,https://purl.stanford.edu/bc682xv2438,East Palo Alto Project,Circle In The Dirt,,moving image,http://vocab.getty.edu/aat/300375156
druid:bc781py2955,https://purl.stanford.edu/bc781py2955,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bc851wc1725,https://purl.stanford.edu/bc851wc1725,Sp14-AFRICAAM-18B-01,"Jazz History: Bebop To Present, 1940-present",2014,text,http://vocab.getty.edu/aat/300028026
druid:bd196bt6161,https://purl.stanford.edu/bd196bt6161,Survival: A Resource Book for Native American Students at Stanford,,1976,text,
druid:bd256ks1553,https://purl.stanford.edu/bd256ks1553,"Parents Weekend, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:bd481mf9656,https://purl.stanford.edu/bd481mf9656,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:bd559nt5637,https://purl.stanford.edu/bd559nt5637,Henry Lewis Gates,,5/20/85,still image,http://vocab.getty.edu/aat/300046300
druid:bd706tq7986,https://purl.stanford.edu/bd706tq7986,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bd798vw2103,https://purl.stanford.edu/bd798vw2103,Stanford Undergraduate Scholars Program,,1988-01,still image,
druid:bd933td6140,https://purl.stanford.edu/bd933td6140,Ujamaa presents questions!!,,1987-10,still image,
druid:bd947bg1943,https://purl.stanford.edu/bd947bg1943,B.S.U. informational meeting,,1980-04,still image,
druid:bf059cv6088,,"Final environmental impact statement and report, East Palo Alto Redevelopment Project area no. 1 redevelopment plan",,[1974],text,
druid:bf350pj0966,https://purl.stanford.edu/bf350pj0966,"Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:bf385jz2076,https://purl.stanford.edu/bf385jz2076,"Collection of documents on annexations to Menlo Park, California and the incorporation of East Palo Alto, California",,,text,
druid:bf402rm3787,https://purl.stanford.edu/bf402rm3787,W15-AFRICAAM-290-01,"Human Rights In A Global Frame: Race, Place, Redress, Resistance",2015,text,http://vocab.getty.edu/aat/300028026
druid:bf480hn8256,https://purl.stanford.edu/bf480hn8256,Secret Zawadee revealing party,,,still image,
druid:bf486ks9284,https://purl.stanford.edu/bf486ks9284,Skidog affair,,,still image,
druid:bg190qh9725,https://purl.stanford.edu/bg190qh9725,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bg257yw1513,https://purl.stanford.edu/bg257yw1513,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bg340qk0326,https://purl.stanford.edu/bg340qk0326,"Jessie Jackson - Martin Luther King, Jr. Day",,1/15/87,still image,http://vocab.getty.edu/aat/300046300
druid:bg434rj2618,https://purl.stanford.edu/bg434rj2618,"Senior formal, photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:bg554wm9898,https://purl.stanford.edu/bg554wm9898,Undergraduate research opportunities,,,still image,
druid:bg953xv9713,https://purl.stanford.edu/bg953xv9713,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:bh056pg5196,https://purl.stanford.edu/bh056pg5196,"Martin Luther King, Jr. at Stanford",,4/14/67,still image,http://vocab.getty.edu/aat/300046300
druid:bh066mb6749,https://purl.stanford.edu/bh066mb6749,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:bh412hr1074,https://purl.stanford.edu/bh412hr1074,"Ella Fitzgerald and Duke Ellington, Jazz Year 1965",,10/31/65,still image,http://vocab.getty.edu/aat/300046300
druid:bh611jk8757,https://purl.stanford.edu/bh611jk8757,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:bh871cp7369,https://purl.stanford.edu/bh871cp7369,Grapevine,,1/17/74,text,
druid:bh951gk7347,https://purl.stanford.edu/bh951gk7347,W11-AFRICAAM-245-01,Understanding Racial And Ethnic Identity Development,2011,text,http://vocab.getty.edu/aat/300028026
druid:bj067xz2678,https://purl.stanford.edu/bj067xz2678,"Martin Luther King, Jr. at Stanford",,4/23/64,still image,http://vocab.getty.edu/aat/300046300
druid:bj280zm1139,https://purl.stanford.edu/bj280zm1139,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:bj345bq6937,https://purl.stanford.edu/bj345bq6937,"Jessie Jackson - Martin Luther King, Jr. Day",,1/15/87,still image,http://vocab.getty.edu/aat/300046300
druid:bj465bj3051,https://purl.stanford.edu/bj465bj3051,Studio Watts drama group,,10/3/68,still image,http://vocab.getty.edu/aat/300046300
druid:bj738cj1243,https://purl.stanford.edu/bj738cj1243,Joint Center for African Studies- November schedule of events and news update,,,text,
druid:bj768vy7894,https://purl.stanford.edu/bj768vy7894,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bj831tk8519,https://purl.stanford.edu/bj831tk8519,Grapevine,,11/18/85,text,
druid:bk229bh7849,https://purl.stanford.edu/bk229bh7849,Grapevine,,1/31/74,text,
druid:bk291sj6632,https://purl.stanford.edu/bk291sj6632,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:bk301kn3178,https://purl.stanford.edu/bk301kn3178,News Conference: Student Award Winners Calling for Divestment,,6/3/86,still image,http://vocab.getty.edu/aat/300046300
druid:bk484yj1270,https://purl.stanford.edu/bk484yj1270,Interpersonal relationship workshop,,,still image,
druid:bk821gy0473,https://purl.stanford.edu/bk821gy0473,"The Real News, Volume 4, Number 1",,1/11/71,text,
druid:bk874pm1261,https://purl.stanford.edu/bk874pm1261,Julian Bond,,,still image,http://vocab.getty.edu/aat/300046300
druid:bk890rw5610,https://purl.stanford.edu/bk890rw5610,"Gibbons, James F.",,,still image,http://vocab.getty.edu/aat/300046300
druid:bm064hp6548,https://purl.stanford.edu/bm064hp6548,Black Theme House (Ujamaa),,1981,text,http://vocab.getty.edu/aat/300027261
druid:bm423jj1170,https://purl.stanford.edu/bm423jj1170,East Palo Alto/Nairobi Legacy Reunion: Melianai Tongan,,7/24/04,still image,http://vocab.getty.edu/aat/300046300
druid:bm433my4699,https://purl.stanford.edu/bm433my4699,The Colonist,"Volume 1, Number 4",5/13/69,text,http://vocab.getty.edu/aat/300026656
druid:bm515nn8967,https://purl.stanford.edu/bm515nn8967,Sp14-AFRICAST-211-01,Education For All? The Global And Local In Public Policy Making In Africa,2014,text,http://vocab.getty.edu/aat/300028026
druid:bm566fn7916,https://purl.stanford.edu/bm566fn7916,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bm894pg0887,https://purl.stanford.edu/bm894pg0887,"Stanford University, Stanford National Black Alumni Association, Records, 2019",,2019,mixed material,
druid:bm926pw5932,https://purl.stanford.edu/bm926pw5932,W16-AFRICAAM-48Q-01,South Africa: Contested Transitions,2016,text,http://vocab.getty.edu/aat/300028026
druid:bn020pm1446,https://purl.stanford.edu/bn020pm1446,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bn088pm4757,https://purl.stanford.edu/bn088pm4757,The Colonist,"Volume 2, Number 5",11/13/69,text,http://vocab.getty.edu/aat/300026656
