Org ID,Target,Link type,Link type URI
org00019,druid:bb054hs1968,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bb078wj6265,photographer,http://id.loc.gov/vocabulary/relators/pht
org00056,druid:bb103ms8325,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bb138hy2472,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00019,druid:bb258fr8216,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bb497mn3461,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00055,druid:bb712wj5054,compiler of,http://id.loc.gov/vocabulary/relators/com
org00019,druid:bb780fp2916,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bb900vj4746,photographer,http://id.loc.gov/vocabulary/relators/pht
org00056,druid:bb955bp5391,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00050,druid:bc048xp3792,associated with,
org00078,druid:bc091jz5984,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bc091vf8577,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00056,druid:bc353gr1672,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bc679dy1351,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bc781py2955,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00058,druid:bc851wc1725,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00056,druid:bd256ks1553,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bd481mf9656,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bd559nt5637,photographer,http://id.loc.gov/vocabulary/relators/pht
org00019,druid:bd706tq7986,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bd798vw2103,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bd933td6140,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bd947bg1943,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00036,druid:bf059cv6088,associated with,
org00039,druid:bf059cv6088,associated with,
org00056,druid:bf350pj0966,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00023,druid:bf385jz2076,issuing body,
org00035,druid:bf385jz2076,issuing body,
org00058,druid:bf402rm3787,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bf480hn8256,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bf486ks9284,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bg190qh9725,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bg257yw1513,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bg340qk0326,photographer,http://id.loc.gov/vocabulary/relators/pht
org00056,druid:bg434rj2618,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bg554wm9898,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bg953xv9713,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bh056pg5196,photographer,http://id.loc.gov/vocabulary/relators/pht
org00078,druid:bh066mb6749,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bh412hr1074,photographer,http://id.loc.gov/vocabulary/relators/pht
org00048,druid:bh611jk8757,photographer,http://id.loc.gov/vocabulary/relators/pht
org00050,druid:bh871cp7369,associated with,
org00058,druid:bh951gk7347,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bj067xz2678,photographer,http://id.loc.gov/vocabulary/relators/pht
org00048,druid:bj280zm1139,photographer,http://id.loc.gov/vocabulary/relators/pht
org00048,druid:bj345bq6937,photographer,http://id.loc.gov/vocabulary/relators/pht
org00048,druid:bj465bj3051,photographer,http://id.loc.gov/vocabulary/relators/pht
org00020,druid:bj738cj1243,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bj768vy7894,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00050,druid:bj831tk8519,associated with,
org00050,druid:bk229bh7849,associated with,
org00048,druid:bk291sj6632,photographer,http://id.loc.gov/vocabulary/relators/pht
org00048,druid:bk301kn3178,photographer,http://id.loc.gov/vocabulary/relators/pht
org00078,druid:bk484yj1270,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00060,druid:bk874pm1261,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00050,druid:bk890rw5610,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00056,druid:bm064hp6548,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00009,druid:bm433my4699,publisher,http://id.loc.gov/vocabulary/relators/pbl
org00059,druid:bm515nn8967,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00019,druid:bm566fn7916,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00050,druid:bm894pg0887,associated with,
org00058,druid:bm926pw5932,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00019,druid:bn020pm1446,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00009,druid:bn088pm4757,publisher,http://id.loc.gov/vocabulary/relators/pbl
org00060,druid:bn386yg4702,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bn409xq9774,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00019,druid:bn453hj9554,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bn919bq5601,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bn988pv5015,photographer,http://id.loc.gov/vocabulary/relators/pht
org00049,druid:bp159cg3883,contributor to,
org00078,druid:bp344zf9345,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00047,druid:bp365vf9534,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bp418mf8445,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00049,druid:bp448zd3888,contributor to,
org00058,druid:bp847fd0453,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00060,druid:bp847tp6549,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00049,druid:bp889md7671,contributor to,
org00078,druid:bq036fh6509,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bq101hp6708,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00056,druid:bq290tw7585,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bq339bc4308,photographer,http://id.loc.gov/vocabulary/relators/pht
org00078,druid:bq384ch1658,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bq545wc1724,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00032,druid:bq782pp3515,creator,http://id.loc.gov/vocabulary/relators/cre
org00048,druid:bq801hx0827,photographer,http://id.loc.gov/vocabulary/relators/pht
org00078,druid:br002qg8656,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:br101rc8044,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:br116xm8223,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00050,druid:br432mh4651,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:br617kt0123,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00019,druid:br930cd3330,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00019,druid:bs040hr9595,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bs156gt1222,photographer,http://id.loc.gov/vocabulary/relators/pht
org00056,druid:bs406vz2613,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bs468pp4543,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bs540rz2629,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00048,druid:bs569xz6723,photographer,http://id.loc.gov/vocabulary/relators/pht
org00078,druid:bs814sr2886,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00047,druid:bs816cr1543,sponsor,http://id.loc.gov/vocabulary/relators/spn
org00078,druid:bs850zc5244,sponsor,http://id.loc.gov/vocabulary/relators/spn
