People,Target,Link type,Link type URI
per00130,druid:bb054hs1968,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bb054hs1968,producer,http://id.loc.gov/vocabulary/relators/pro
per00130,druid:bb258fr8216,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bb258fr8216,producer,http://id.loc.gov/vocabulary/relators/pro
per00121,druid:bb427gf6685,donor,http://id.loc.gov/vocabulary/relators/dnr
per00130,druid:bb780fp2916,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bb780fp2916,producer,http://id.loc.gov/vocabulary/relators/pro
per00073,druid:bb900vj4746,associated with,
per00109,druid:bb966zc9144,photographer,http://id.loc.gov/vocabulary/relators/pht
per00145,druid:bc526rf5313,author of,http://id.loc.gov/vocabulary/relators/aut
per00013,druid:bc851wc1725,teacher,http://id.loc.gov/vocabulary/relators/tch
per00005,druid:bd196bt6161,author of,http://id.loc.gov/vocabulary/relators/aut
per00130,druid:bd706tq7986,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bd706tq7986,producer,http://id.loc.gov/vocabulary/relators/pro
per00141,druid:bf059cv6088,associated with,
per00111,druid:bf402rm3787,teacher,http://id.loc.gov/vocabulary/relators/tch
per00073,druid:bg340qk0326,associated with,
per00089,druid:bh951gk7347,teacher,http://id.loc.gov/vocabulary/relators/tch
per00073,druid:bj345bq6937,associated with,
per00019,druid:bk874pm1261,speaker,http://id.loc.gov/vocabulary/relators/spk
per00121,druid:bm423jj1170,donor,http://id.loc.gov/vocabulary/relators/dnr
per00125,druid:bm515nn8967,teacher,http://id.loc.gov/vocabulary/relators/tch
per00130,druid:bm566fn7916,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bm566fn7916,producer,http://id.loc.gov/vocabulary/relators/pro
per00125,druid:bm926pw5932,teacher,http://id.loc.gov/vocabulary/relators/tch
per00130,druid:bn020pm1446,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bn020pm1446,producer,http://id.loc.gov/vocabulary/relators/pro
per00019,druid:bn386yg4702,speaker,http://id.loc.gov/vocabulary/relators/spk
per00130,druid:bn453hj9554,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bn453hj9554,producer,http://id.loc.gov/vocabulary/relators/pro
per00073,druid:bn988pv5015,associated with,
per00146,druid:bp365vf9534,interviewee,http://id.loc.gov/vocabulary/relators/ive
per00058,druid:bp365vf9534,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00138,druid:bp847fd0453,teacher,http://id.loc.gov/vocabulary/relators/tch
per00019,druid:bp847tp6549,speaker,http://id.loc.gov/vocabulary/relators/spk
per00121,druid:br069jf4130,donor,http://id.loc.gov/vocabulary/relators/dnr
per00130,druid:br930cd3330,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:br930cd3330,producer,http://id.loc.gov/vocabulary/relators/pro
per00130,druid:bs040hr9595,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bs040hr9595,producer,http://id.loc.gov/vocabulary/relators/pro
per00120,druid:bs816cr1543,interviewee,http://id.loc.gov/vocabulary/relators/ive
per00058,druid:bs816cr1543,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00121,druid:bt655gy0535,donor,http://id.loc.gov/vocabulary/relators/dnr
per00105,druid:bw012dt3402,speaker,http://id.loc.gov/vocabulary/relators/spk
per00080,druid:bw012dt3402,speaker,http://id.loc.gov/vocabulary/relators/spk
per00130,druid:bw172vg5646,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bw172vg5646,producer,http://id.loc.gov/vocabulary/relators/pro
per00036,druid:bw191hc0311,interviewee,http://id.loc.gov/vocabulary/relators/ive
per00058,druid:bw191hc0311,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00121,druid:bw615ff7006,teacher,http://id.loc.gov/vocabulary/relators/tch
per00130,druid:bw788yv0430,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bw788yv0430,producer,http://id.loc.gov/vocabulary/relators/pro
per00130,druid:bw819ws1548,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bw819ws1548,producer,http://id.loc.gov/vocabulary/relators/pro
per00109,druid:bx072by2292,photographer,http://id.loc.gov/vocabulary/relators/pht
per00130,druid:bx473yb7340,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bx473yb7340,producer,http://id.loc.gov/vocabulary/relators/pro
per00130,druid:bx575nf8063,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bx575nf8063,producer,http://id.loc.gov/vocabulary/relators/pro
per00073,druid:bx580mw5849,associated with,
per00130,druid:by070qg7463,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:by070qg7463,producer,http://id.loc.gov/vocabulary/relators/pro
per00065,druid:by198sn6504,teacher,http://id.loc.gov/vocabulary/relators/tch
per00073,druid:by761vs9484,associated with,
per00121,druid:by774rx3179,associated with,
per00121,druid:by877jd0110,donor,http://id.loc.gov/vocabulary/relators/dnr
per00009,druid:bz057fg2526,teacher,http://id.loc.gov/vocabulary/relators/tch
per00130,druid:bz155ts5417,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:bz155ts5417,producer,http://id.loc.gov/vocabulary/relators/pro
per00006,druid:bz526sh1159,teacher,http://id.loc.gov/vocabulary/relators/tch
per00121,druid:bz901vh3608,donor,http://id.loc.gov/vocabulary/relators/dnr
per00109,druid:cb239pg2690,photographer,http://id.loc.gov/vocabulary/relators/pht
per00130,druid:cb239yy1423,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cb239yy1423,producer,http://id.loc.gov/vocabulary/relators/pro
per00130,druid:cb919ps9973,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cb919ps9973,producer,http://id.loc.gov/vocabulary/relators/pro
per00147,druid:cc351hz7852,interviewee,http://id.loc.gov/vocabulary/relators/ive
per00058,druid:cc351hz7852,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00121,druid:cc687qt8605,donor,http://id.loc.gov/vocabulary/relators/dnr
per00130,druid:cc924jj0871,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cc924jj0871,producer,http://id.loc.gov/vocabulary/relators/pro
per00126,druid:cd456xx9747,interviewee,http://id.loc.gov/vocabulary/relators/ive
per00058,druid:cd456xx9747,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00121,druid:cd689ny3869,teacher,http://id.loc.gov/vocabulary/relators/tch
per00130,druid:cf211xf2136,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cf211xf2136,producer,http://id.loc.gov/vocabulary/relators/pro
per00121,druid:cf606sd7763,donor,http://id.loc.gov/vocabulary/relators/dnr
per00004,druid:cf842sd4281,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00023,druid:cf842sd4281,interviewee,http://id.loc.gov/vocabulary/relators/ive
per00121,druid:cf842sd4281,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00109,druid:cg692vm5892,photographer,http://id.loc.gov/vocabulary/relators/pht
per00020,druid:cg899pv3523,author of,http://id.loc.gov/vocabulary/relators/aut
per00027,druid:ch734jv8037,teacher,http://id.loc.gov/vocabulary/relators/tch
per00130,druid:cj011bc2863,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cj011bc2863,producer,http://id.loc.gov/vocabulary/relators/pro
per00125,druid:cj716mk4738,teacher,http://id.loc.gov/vocabulary/relators/tch
per00073,druid:cj890gs2193,associated with,
per00130,druid:ck419hy5943,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:ck419hy5943,producer,http://id.loc.gov/vocabulary/relators/pro
per00006,druid:ck737wx2061,teacher,http://id.loc.gov/vocabulary/relators/tch
per00154,druid:ck979ns4380,interviewee,http://id.loc.gov/vocabulary/relators/ive
per00155,druid:ck979ns4380,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00121,druid:cm155sr5536,donor,http://id.loc.gov/vocabulary/relators/dnr
per00121,druid:cm172rg0453,associated with,
per00121,druid:cm265kz7518,donor,http://id.loc.gov/vocabulary/relators/dnr
per00022,druid:cm271fj5556,teacher,http://id.loc.gov/vocabulary/relators/tch
per00121,druid:cm968fh0279,donor,http://id.loc.gov/vocabulary/relators/dnr
per00130,druid:cn309gj0961,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cn309gj0961,producer,http://id.loc.gov/vocabulary/relators/pro
per00128,druid:cn344ts8146,interviewee,http://id.loc.gov/vocabulary/relators/ive
per00058,druid:cn344ts8146,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00130,druid:cn602sf0010,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cn602sf0010,producer,http://id.loc.gov/vocabulary/relators/pro
per00112,druid:cq064bj2884,teacher,http://id.loc.gov/vocabulary/relators/tch
per00130,druid:cr335fy1852,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cr335fy1852,producer,http://id.loc.gov/vocabulary/relators/pro
per00096,druid:cr547wm5608,author of,http://id.loc.gov/vocabulary/relators/aut
per00130,druid:cr588fc0519,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cr588fc0519,producer,http://id.loc.gov/vocabulary/relators/pro
per00109,druid:ct447zh9933,photographer,http://id.loc.gov/vocabulary/relators/pht
per00029,druid:ct750my7688,interviewee,http://id.loc.gov/vocabulary/relators/ive
per00086,druid:ct750my7688,interviewer,http://id.loc.gov/vocabulary/relators/ivr
per00130,druid:cv002dg2674,photographer,http://id.loc.gov/vocabulary/relators/pht
per00060,druid:cv002dg2674,producer,http://id.loc.gov/vocabulary/relators/pro
per00051,druid:cv354mk2226,author of,http://id.loc.gov/vocabulary/relators/aut
per00086,druid:cv354mk2226,author of,http://id.loc.gov/vocabulary/relators/aut
per00010,druid:cv446jb9445,teacher,http://id.loc.gov/vocabulary/relators/tch
per00121,druid:cv981ht6545,donor,http://id.loc.gov/vocabulary/relators/dnr
