SOURCE,Link Type,TARGET
druid:bb054hs1968,part of,"Stanford University, Institute for Diversity in the Arts, Records (SC1179)"
druid:bb078wj6265,part of,"Stanford University, News Service, Records (SC0122)"
druid:bb103ms8325,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bb138hy2472,part of,Ujamaa Records (SC1127)
druid:bb427gf6685,part of,John R. Rickford Papers (SC1515)
druid:bb497mn3461,part of,Ujamaa Records (SC1127)
druid:bb712wj5054,part of,"Stanford University, Assistant to the President for Black Affairs, Records (SC0154)"
druid:bb780fp2916,part of,"Stanford University, Institute for Diversity in the Arts, Records (SC1179)"
druid:bb900vj4746,part of,"Stanford University, News Service, Records (SC0122)"
druid:bb955bp5391,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bc091jz5984,part of,Ujamaa Records (SC1127)
druid:bc091vf8577,part of,Ujamaa Records (SC1127)
druid:bc353gr1672,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bc526rf5313,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bc679dy1351,part of,Ujamaa Records (SC1127)
druid:bc682xv2438,part of,"Stanford University, Institute for Diversity in the Arts, Records (SC1179)"
druid:bc781py2955,part of,Ujamaa Records (SC1127)
druid:bc851wc1725,part of,Stanford University Syllabi (SC1454)
druid:bd196bt6161,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bd256ks1553,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bd481mf9656,part of,Ujamaa Records (SC1127)
druid:bd559nt5637,part of,"Stanford University, News Service, Records (SC0122)"
druid:bd706tq7986,part of,"Stanford University, Institute for Diversity in the Arts, Records (SC1179)"
druid:bd798vw2103,part of,Ujamaa Records (SC1127)
druid:bd933td6140,part of,Ujamaa Records (SC1127)
druid:bd947bg1943,part of,Ujamaa Records (SC1127)
druid:bf350pj0966,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bf402rm3787,part of,Stanford University Syllabi (SC1454)
druid:bf480hn8256,part of,Ujamaa Records (SC1127)
druid:bf486ks9284,part of,Ujamaa Records (SC1127)
druid:bg190qh9725,part of,Ujamaa Records (SC1127)
druid:bg257yw1513,part of,Ujamaa Records (SC1127)
druid:bg340qk0326,part of,"Stanford University, News Service, Records (SC0122)"
druid:bg434rj2618,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bg554wm9898,part of,Ujamaa Records (SC1127)
druid:bg953xv9713,part of,Ujamaa Records (SC1127)
druid:bh056pg5196,part of,"Stanford University, News Service, Records (SC0122)"
druid:bh066mb6749,part of,Ujamaa Records (SC1127)
druid:bh412hr1074,part of,"Stanford University, News Service, Records (SC0122)"
druid:bh611jk8757,part of,"Stanford University, News Service, Records (SC0122)"
druid:bh951gk7347,part of,Stanford University Syllabi (SC1454)
druid:bj067xz2678,part of,"Stanford University, News Service, Records (SC0122)"
druid:bj280zm1139,part of,"Stanford University, News Service, Records (SC0122)"
druid:bj345bq6937,part of,"Stanford University, News Service, Records (SC0122)"
druid:bj465bj3051,part of,"Stanford University, News Service, Records (SC0122)"
druid:bj738cj1243,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bj768vy7894,part of,Ujamaa Records (SC1127)
druid:bk291sj6632,part of,"Stanford University, News Service, Records (SC0122)"
druid:bk301kn3178,part of,"Stanford University, News Service, Records (SC0122)"
druid:bk484yj1270,part of,Ujamaa Records (SC1127)
druid:bk874pm1261,part of,"Stanford University, El Centro Chicano y Latino, Records (SC0650)"
druid:bk890rw5610,part of,Stanford Student Life Photographs (PC0140)
druid:bm064hp6548,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bm423jj1170,part of,John R. Rickford Papers (SC1515)
druid:bm515nn8967,part of,Stanford University Syllabi (SC1454)
druid:bm566fn7916,part of,"Stanford University, Institute for Diversity in the Arts, Records (SC1179)"
druid:bm926pw5932,part of,Stanford University Syllabi (SC1454)
druid:bn386yg4702,part of,"Stanford University, El Centro Chicano y Latino, Records (SC0650)"
druid:bn409xq9774,part of,Ujamaa Records (SC1127)
druid:bn453hj9554,part of,"Stanford University, Institute for Diversity in the Arts, Records (SC1179)"
druid:bn919bq5601,part of,Ujamaa Records (SC1127)
druid:bn988pv5015,part of,"Stanford University, News Service, Records (SC0122)"
druid:bp159cg3883,part of,"Stanford Out of South Africa records, 1985"
druid:bp344zf9345,part of,Ujamaa Records (SC1127)
druid:bp365vf9534,part of,Black Alumni Stories and Oral Histories (SC1473)
druid:bp418mf8445,part of,Ujamaa Records (SC1127)
druid:bp448zd3888,part of,"Stanford Out of South Africa records, 1985"
druid:bp847fd0453,part of,Stanford University Syllabi (SC1454)
druid:bp847tp6549,part of,"Stanford University, El Centro Chicano y Latino, Records (SC0650)"
druid:bp889md7671,part of,"Stanford Out of South Africa records, 1985"
druid:bq036fh6509,part of,Ujamaa Records (SC1127)
druid:bq101hp6708,part of,Ujamaa Records (SC1127)
druid:bq290tw7585,part of,"Stanford University, Black Community Services Center, Records (SC0369)"
druid:bq339bc4308,part of,"Stanford University, News Service, Records (SC0122)"
druid:bq384ch1658,part of,Ujamaa Records (SC1127)
druid:bq545wc1724,part of,Ujamaa Records (SC1127)
druid:bq782pp3515,part of,Guide to the Racism Lives Here Too Movement records
druid:bq801hx0827,part of,"Stanford University, News Service, Records (SC0122)"
druid:br002qg8656,part of,Ujamaa Records (SC1127)
druid:br069jf4130,part of,John R. Rickford Papers (SC1515)
druid:br101rc8044,part of,Ujamaa Records (SC1127)
druid:br116xm8223,part of,Ujamaa Records (SC1127)
