Index,Given Name,Family Name 1,Record Name,Birth Year,Death Year,URI,Type
per00001, Hafsat,Abiola,"Abiola, Hafsat",,,http://id.loc.gov/authorities/names/n2005057464,person
per00002, Joshua,Adamson,"Adamson, Joshua",,,,person
per00003, H.,Alim,"Alim, H.",,,,person
per00004, Aimee,Allison,"Allison, Aimee",,,http://id.loc.gov/authorities/names/n2006087281,person
per00005, Benjamin L.,Atencio,"Atencio, Benjamin L.",,,,person
per00006, Anne,Austin,"Austin, Anne",,,,person
per00007, Raymond,Bacchetti,"Bacchetti, Raymond",,,https://id.loc.gov/authorities/names/n2006056677,person
per00008, Mary Montle,Bacon,"Bacon, Mary Montle",,,,person
per00009, Arnetha,Ball,"Ball, Arnetha",,,,person
per00010, Donald,Barr,"Barr, Donald",,,,person
per00011, April,Bell,"Bell, April",,,,person
per00012, Ayanna,Bennett,"Bennett, Ayanna",,,,person
per00013, Fredrick,Berry,"Berry, Fredrick",,,,person
per00014, Greg,Billings,"Billings, Greg",,,,person
per00015, Amy.,Bird,"Bird, Amy.",,,,person
per00016, John D.,Black,"Black, John D.",,,,person
per00017, James,Boggs,"Boggs, James",,,,person
per00018, Courtney,Bonam,"Bonam, Courtney",,,,person
per00019, Julian,Bond,"Bond, Julian, 1940-2015",1940,2015,http://id.loc.gov/authorities/names/n84011307,person
per00020, Harold K.,Boyd,"Boyd, Harold K.",,,,person
per00021, Jennifer,Brody,"Brody, Jennifer",,,,person
per00022, Cheryl,Brown,"Brown, Cheryl",,,,person
per00023, Dennis,Brutus,"Brutus, Dennis, 1924-2009",1924,2009,http://id.loc.gov/authorities/names/n79064864,person
per00024, Dalai Lama XIV,Bstan-ʼdzin-rgya-mtsho,"Bstan-ʼdzin-rgya-mtsho, Dalai Lama XIV, 1935-",1935,,http://id.loc.gov/authorities/names/n80079447,person
per00025, Diane,Cabbell,"Cabbell, Diane",,,,person
per00026, Kyle,Cabbell,"Cabbell, Kyle",,,,person
per00027, James,Campbell,"Campbell, James",,,,person
per00028, Rachel,Carrico,"Carrico, Rachel",,,,person
per00029, Clayborne,Carson,"Carson, Clayborne",,,http://id.loc.gov/authorities/names/n80056239,person
per00030, Prudence,Carter,"Carter, Prudence",,,,person
per00031, Jakeya,Caruthers,"Caruthers, Jakeya",,,,person
per00032, Jeff,Chang,"Chang, Jeff",,,,person
per00033, Shirley,Chisholm,"Chisholm, Shirley, 1924-2005",1924,2005,http://id.loc.gov/authorities/names/n50038170,person
per00034, Victoria,Christine Rodriguez,"Christine Rodriguez, Victoria",,,,person
per00035, Elizabeth,Clemens,"Clemens, Elizabeth",,,,person
per00036, Tonya,Coats,"Coats, Tonya",,,,person
per00037, Sherman L.,Crary,"Crary, Sherman L.",,,,person
per00038, Joanna,Das,"Das, Joanna",,,,person
per00039, Matthew,Daube,"Daube, Matthew",,,,person
per00040, Angel,Davis,"Davis, Angel",,,,person
per00041, Erica,Dennings,"Dennings, Erica",,,,person
per00042, Carolyn,Duffey,"Duffey, Carolyn",,,,person
per00043, Jennifer,Eberhardt,"Eberhardt, Jennifer",,,,person
per00044, Jim,Embry,"Embry, Jim",,,,person
per00045, Mary Foston,English,"English, Mary Foston",,,,person
per00046, Corisande,Fenwick,"Fenwick, Corisande",,,,person
per00047, Corey,Fields,"Fields, Corey",,,,person
per00048, Emma,Frothingham,"Frothingham, Emma",,,,person
per00049, Duana,Fullwiley,"Fullwiley, Duana",,,,person
per00050, Aisha,Ghani,"Ghani, Aisha",,,,person
per00051, James Lowell,Gibbs,"Gibbs, James Lowell",,,https://id.loc.gov/authorities/names/n86041469,person
per00052, Leah,Gordon,"Gordon, Leah",,,,person
per00053, William B.,Gould,"Gould, William B., IV",,,http://id.loc.gov/authorities/names/n82020318,person
per00054, Ariela,Gross,"Gross, Ariela",,,,person
per00055, Dream,Hampton,"Hampton, Dream",,,,person
per00056, Sean,Hanretta,"Hanretta, Sean",,,,person
per00057, Katherine H.,Hanson,"Hanson, Katherine H.",,,,person
per00058, Daniel,Hartwig,"Hartwig, Daniel",,,,person
per00059, S. I. (Samuel Ichiyé),Hayakawa,"Hayakawa, S. I. (Samuel Ichiyé), 1906-1992",1906,1992,,person
per00060, Aleta,Hayes,"Hayes, Aleta",,,http://id.loc.gov/authorities/names/n97856946,person
per00061, Warren C.,Hayman,"Hayman, Warren C., 1932-",1932,,http://id.loc.gov/authorities/names/n93003782,person
per00062, Julie,Henry,"Henry, Julie",,,,person
per00063, Errol,Hill,"Hill, Errol",,,http://id.loc.gov/authorities/names/n79089614,person
per00064, Rachael,Hill,"Hill, Rachael",,,,person
per00065, Allyson Vanessa,Hobbs,"Hobbs, Allyson Vanessa",,,http://id.loc.gov/authorities/names/no2009045750,person
per00066, Kirk,Holmes,"Holmes, Kirk",,,,person
per00067, A-lan,Holt,"Holt, A-lan",,,,person
per00068, Laura,Hubbard,"Hubbard, Laura",,,,person
per00069, Brandi,Hughes,"Hughes, Brandi",,,,person
per00070, Solomon,Hughes,"Hughes, Solomon",,,,person
per00071, Alvan,Ikoku,"Ikoku, Alvan",,,,person
per00072, Amber-Marie,Irving-Elkins,"Irving-Elkins, Amber-Marie",,,,person
per00073, Jesse,Jackson,"Jackson, Jesse, 1941-",1941,,http://id.loc.gov/authorities/names/n50027794,person
per00074, Kennell A.,Jackson,"Jackson, Kennell A.",,,,person
per00075, Allan B,Jacobs,"Jacobs, Allan B",,,,person
per00076, James,Jacquet,"Jacquet, James",,,,person
per00077, Ronald,Jennings,"Jennings, Ronald",,,,person
